huggingface_model_id,benchmark,score
Qwen/Qwen3-1.7B,GPQADiamond,39.73
Qwen/Qwen3-1.7B,HumanEval,7.36
Qwen/Qwen3-1.7B,IFEval,31.67
Qwen/Qwen3-1.7B,MATH500,85.0
Qwen/Qwen3-1.7B,MBPP,0.0
Qwen/Qwen3-1.7B-Base,AIME24,0.0
Qwen/Qwen3-1.7B-Base,AIME25,0.0
Qwen/Qwen3-1.7B-Base,AMC23,22.5
Qwen/Qwen3-1.7B-Base,GPQADiamond,24.75
Qwen/Qwen3-1.7B-Base,HumanEval,32.98
Qwen/Qwen3-1.7B-Base,IFEval,30.1
Qwen/Qwen3-1.7B-Base,JEEBench,17.67
Qwen/Qwen3-1.7B-Base,MATH500,46.4
Qwen/Qwen3-1.7B-Base,MBPP,46.8
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,AIME24,3.33
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,AIME25,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,AMC23,2.5
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,GPQADiamond,22.39
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,HumanEval,1.24
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,IFEval,19.56
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,JEEBench,1.07
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,LiveCodeBench,0.98
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,MATH500,0.6
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096,MBPP,5.2
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,AMC23,2.5
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,GPQADiamond,24.07
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,HumanEval,15.26
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,IFEval,28.12
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,JEEBench,2.28
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,LiveCodeBench,8.22
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,MATH500,7.4
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-DPO-Tulu3-decontaminated,MBPP,22.6
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,AMC23,2.5
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,GPQADiamond,25.59
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,HumanEval,0.62
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,IFEval,27.11
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,JEEBench,1.7
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,LiveCodeBench,7.05
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,MATH500,6.2
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-SFT-Tulu3-decontaminated,MBPP,12.2
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,AIME24,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,AIME25,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,AMC23,7.5
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,GPQADiamond,22.22
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,HumanEval,6.43
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,IFEval,32.58
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,JEEBench,4.32
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,LiveCodeBench,0.78
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,MATH500,19.8
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k,MBPP,13.8
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,AMC23,2.5
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,GPQADiamond,23.06
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,HumanEval,7.65
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,IFEval,31.35
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,JEEBench,2.57
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,LiveCodeBench,1.57
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,MATH500,6.8
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-DPO-Tulu3-decontaminated,MBPP,11.2
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,AMC23,2.5
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,GPQADiamond,22.9
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,HumanEval,8.88
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,IFEval,29.9
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,JEEBench,2.33
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,LiveCodeBench,1.37
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,MATH500,6.2
ali-elganzory/0.4b-mixturevitae-v1-decontaminated-300B-4096-longsft_16k-SFT-Tulu3-decontaminated,MBPP,13.6
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,AMC23,0.0
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,GPQADiamond,27.78
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,HumanEval,9.5
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,IFEval,39.16
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,JEEBench,5.58
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,LiveCodeBench,1.76
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,MATH500,1.6
ali-elganzory/1.7b-Comma0.1-300BT-DPO-Tulu3-decontaminated,MBPP,22.6
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,AMC23,0.0
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,GPQADiamond,25.76
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,HumanEval,8.57
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,IFEval,36.82
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,JEEBench,4.27
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,LiveCodeBench,1.76
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,MATH500,0.6
ali-elganzory/1.7b-Comma0.1-300BT-SFT-Tulu3-decontaminated,MBPP,22.8
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,AIME24,0.0
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,AIME25,0.0
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,AMC23,0.0
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,GPQADiamond,22.05
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,HumanEval,4.28
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,IFEval,28.49
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,JEEBench,0.0
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,LiveCodeBench,0.0
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,MATH500,0.0
ali-elganzory/1.7b-Comma0.1-300BT-WithChatTemplate,MBPP,9.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,AIME24,0.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,AIME25,0.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,AMC23,2.5
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,GPQADiamond,27.1
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,HumanEval,5.51
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,IFEval,37.03
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,JEEBench,8.16
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,LiveCodeBench,0.2
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,MATH500,2.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k,MBPP,3.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,AMC23,2.5
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,GPQADiamond,23.74
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,HumanEval,7.36
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,IFEval,43.5
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,JEEBench,5.63
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,LiveCodeBench,2.35
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,MATH500,1.8
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-DPO-Tulu3-decontaminated,MBPP,6.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,AMC23,2.5
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,GPQADiamond,26.09
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,HumanEval,4.9
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,IFEval,40.7
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,JEEBench,4.51
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,LiveCodeBench,1.57
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,MATH500,2.2
ali-elganzory/1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,MBPP,3.4
ali-elganzory/1.7b-MixtureVitae-100BT,AIME24,3.33
ali-elganzory/1.7b-MixtureVitae-100BT,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-100BT,AMC23,0.0
ali-elganzory/1.7b-MixtureVitae-100BT,GPQADiamond,24.41
ali-elganzory/1.7b-MixtureVitae-100BT,HumanEval,0.63
ali-elganzory/1.7b-MixtureVitae-100BT,IFEval,21.17
ali-elganzory/1.7b-MixtureVitae-100BT,JEEBench,3.25
ali-elganzory/1.7b-MixtureVitae-100BT,LiveCodeBench,0.0
ali-elganzory/1.7b-MixtureVitae-100BT,MATH500,12.2
ali-elganzory/1.7b-MixtureVitae-100BT,MBPP,0.2
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,AMC23,5.0
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,GPQADiamond,24.41
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,HumanEval,22.63
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,IFEval,35.07
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,JEEBench,2.86
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,LiveCodeBench,4.31
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,MATH500,8.0
ali-elganzory/1.7b-MixtureVitae-100BT-DPO-Tulu3-decontaminated,MBPP,36.4
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,AMC23,5.0
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,GPQADiamond,20.71
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,HumanEval,22.33
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,IFEval,34.94
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,JEEBench,2.48
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,LiveCodeBench,3.33
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,MATH500,6.6
ali-elganzory/1.7b-MixtureVitae-100BT-SFT-Tulu3-decontaminated,MBPP,36.8
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,AMC23,17.5
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,GPQADiamond,22.39
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,HumanEval,2.51
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,IFEval,40.4
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,JEEBench,7.23
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,LiveCodeBench,3.69
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,MATH500,35.2
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k,MBPP,7.2
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,AMC23,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,GPQADiamond,24.58
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,HumanEval,0.94
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,IFEval,41.6
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,JEEBench,3.98
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,LiveCodeBench,0.78
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,MATH500,3.4
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-DPO-Tulu3-decontaminated,MBPP,8.2
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,AMC23,0.0
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,GPQADiamond,23.91
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,HumanEval,11.62
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,IFEval,39.46
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,JEEBench,4.37
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,LiveCodeBench,0.59
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,MATH500,3.2
ali-elganzory/1.7b-MixtureVitae-100BT-longsft_16k-SFT-Tulu3-decontaminated,MBPP,6.4
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,AMC23,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,GPQADiamond,25.25
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,HumanEval,30.01
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,IFEval,50.68
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,JEEBench,3.83
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,LiveCodeBench,10.96
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,MATH500,18.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-DPO-Tulu3,MBPP,41.8
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,AMC23,5.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,GPQADiamond,27.27
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,HumanEval,29.7
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,IFEval,49.47
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,JEEBench,2.72
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,LiveCodeBench,10.57
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,MATH500,18.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-SFT-Tulu3,MBPP,43.2
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,AIME24,3.33
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,AIME25,6.67
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,AMC23,20.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,GPQADiamond,22.56
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,HumanEval,30.02
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,IFEval,47.89
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,JEEBench,11.02
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,LiveCodeBench,16.83
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,MATH500,36.6
ali-elganzory/1.7b-MixtureVitae-300BT-v1-16k-WithChatTemplate,MBPP,41.8
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,AMC23,7.5
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,GPQADiamond,27.78
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,HumanEval,32.81
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,IFEval,46.73
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,JEEBench,3.54
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,LiveCodeBench,12.52
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,MATH500,17.6
ali-elganzory/1.7b-MixtureVitae-300BT-v1-DPO-Tulu3,MBPP,43.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,AIME24,6.67
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,AMC23,2.5
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,GPQADiamond,25.59
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,HumanEval,32.54
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,IFEval,44.98
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,JEEBench,3.45
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,LiveCodeBench,11.15
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,MATH500,16.4
ali-elganzory/1.7b-MixtureVitae-300BT-v1-SFT-Tulu3,MBPP,42.6
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,AIME25,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,AMC23,15.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,GPQADiamond,22.22
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,HumanEval,26.64
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,IFEval,27.83
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,JEEBench,5.05
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,LiveCodeBench,11.15
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,MATH500,14.6
ali-elganzory/1.7b-MixtureVitae-300BT-v1-WithChatTemplate,MBPP,43.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-decontaminated,AIME24,0.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-decontaminated,AIME25,10.0
ali-elganzory/1.7b-MixtureVitae-300BT-v1-decontaminated,AMC23,7.5
ali-elganzory/1.7b-MixtureVitae-300BT-v1-decontaminated,GPQADiamond,23.91
